Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
2,2.415e-08,2.067e-08,2.454e-08,9.428e-08,1.8595e-07,3.222e-08,2.765e-08
3,4.775e-08,3.859e-08,5.226e-08,1.2286e-07,3.6203e-07,5.77e-08,7.403e-08
4,8.233e-08,6.252e-08,8.34e-08,1.7808e-07,7.2014e-07,9.43e-08,6.797e-08
5,1.72e-07,1.4204e-07,1.8683e-07,3.4988e-07,1.34233e-06,1.4169e-07,1.3884e-07
6,2.8046e-07,1.981e-07,1.8548e-07,2.5941e-07,1.2207e-06,1.7973e-07,1.7136e-07
7,2.4661e-07,1.5901e-07,2.4015e-07,4.3106e-07,1.24519e-06,2.2547e-07,2.4828e-07
8,5.737e-07,3.3181e-07,5.2007e-07,5.0741e-07,2.23568e-06,4.843e-07,2.8411e-07
9,6.3616e-07,3.6152e-07,5.1461e-07,7.394e-07,2.65088e-06,4.0867e-07,2.7316e-07
10,8.2414e-07,4.383e-07,4.9709e-07,4.8035e-07,2.88295e-06,4.7204e-07,3.3992e-07
11,1.03389e-06,5.1511e-07,8.4196e-07,8.5038e-07,3.54329e-06,5.2305e-07,3.6962e-07
12,1.0999e-06,4.3848e-07,8.2382e-07,6.4711e-07,2.70211e-06,6.5151e-07,7.2532e-07
13,1.45594e-06,6.8524e-07,1.11543e-06,6.979e-07,3.32093e-06,7.7294e-07,4.7258e-07
14,1.55764e-06,5.8352e-07,8.6606e-07,7.7021e-07,3.48037e-06,7.2251e-07,5.3997e-07
15,1.32758e-06,5.9628e-07,1.21625e-06,9.3418e-07,3.57022e-06,7.9643e-07,6.0619e-07
16,1.48219e-06,6.6836e-07,1.54827e-06,8.4833e-07,3.79242e-06,8.7614e-07,7.6871e-07
17,1.97194e-06,9.2216e-07,1.46505e-06,1.16609e-06,4.21537e-06,9.3395e-07,9.1083e-07
18,2.20703e-06,9.4532e-07,1.31103e-06,1.1673e-06,4.37777e-06,9.8746e-07,8.0074e-07
19,2.41471e-06,8.7795e-07,1.41735e-06,1.24511e-06,4.68393e-06,1.06667e-06,1.22348e-06
20,3.15513e-06,9.5697e-07,1.53474e-06,1.3194e-06,4.92639e-06,1.12644e-06,9.5438e-07
21,2.94813e-06,1.09884e-06,1.82016e-06,1.42722e-06,5.15064e-06,1.20686e-06,1.01587e-06
22,3.47898e-06,1.23015e-06,1.80557e-06,1.59496e-06,5.63603e-06,1.25877e-06,1.52483e-06
23,3.75547e-06,1.19148e-06,1.95408e-06,1.6147e-06,6.35447e-06,1.39103e-06,1.55385e-06
24,4.15115e-06,1.27202e-06,2.40825e-06,2.13504e-06,6.04509e-06,1.51968e-06,1.56714e-06
25,4.83164e-06,1.39992e-06,2.23181e-06,1.7822e-06,6.38399e-06,1.56678e-06,1.50866e-06
26,4.7502e-06,1.49197e-06,2.4185e-06,1.84874e-06,6.62311e-06,1.60362e-06,1.47774e-06
27,6.70403e-06,2.76595e-06,4.75715e-06,2.08438e-06,7.26585e-06,1.79496e-06,1.58273e-06
28,5.24347e-06,1.64315e-06,2.9218e-06,2.04595e-06,7.71919e-06,1.84789e-06,1.62737e-06
29,5.33143e-06,1.74092e-06,2.93897e-06,2.18059e-06,7.80555e-06,1.89407e-06,1.68628e-06
30,6.82372e-06,2.91819e-06,4.31599e-06,2.26317e-06,7.9251e-06,1.99216e-06,1.70279e-06
31,6.40186e-06,2.0103e-06,3.3504e-06,2.5366e-06,8.15739e-06,2.04476e-06,1.81047e-06
32,6.18583e-06,2.14515e-06,3.53829e-06,2.44023e-06,8.6225e-06,2.20489e-06,1.7318e-06
33,6.85359e-06,2.2404e-06,3.74632e-06,2.56799e-06,9.08015e-06,2.24469e-06,1.91266e-06
34,6.48838e-06,2.41102e-06,3.9034e-06,2.71254e-06,9.11099e-06,2.34109e-06,1.93519e-06
35,7.20623e-06,2.47375e-06,4.27992e-06,2.76515e-06,9.76369e-06,2.50045e-06,2.41398e-06
36,8.22656e-06,2.64387e-06,4.45829e-06,2.8474e-06,9.74873e-06,2.60067e-06,2.11477e-06
37,7.76165e-06,2.81999e-06,4.67733e-06,2.93898e-06,1.26463e-05,2.68205e-06,2.19483e-06
38,9.14745e-06,3.2934e-06,4.95403e-06,3.07698e-06,1.01957e-05,2.63229e-06,2.88417e-06
39,1.08782e-05,3.06954e-06,5.42726e-06,3.33427e-06,1.12565e-05,2.87086e-06,2.71343e-06
40,1.25894e-05,3.99173e-06,6.27545e-06,3.45717e-06,1.15922e-05,3.06063e-06,3.10396e-06
41,1.06239e-05,3.58327e-06,5.67922e-06,3.45787e-06,1.232e-05,2.9376e-06,3.21352e-06
42,1.04583e-05,3.72205e-06,5.87024e-06,3.68506e-06,1.22895e-05,3.20737e-06,3.25936e-06
43,1.10516e-05,3.66065e-06,6.15005e-06,3.71701e-06,1.33021e-05,3.45215e-06,3.91692e-06
44,1.11992e-05,3.83484e-06,7.68752e-06,5.43709e-06,1.23182e-05,3.21523e-06,2.77294e-06
45,1.12459e-05,3.93921e-06,6.02341e-06,3.67218e-06,1.18988e-05,3.10007e-06,2.83002e-06
46,1.23295e-05,4.06762e-06,6.60708e-06,3.92991e-06,1.29696e-05,3.57425e-06,3.34786e-06
47,1.27071e-05,4.23612e-06,7.05035e-06,3.91876e-06,1.51627e-05,3.52785e-06,2.9945e-06
48,1.32764e-05,4.84513e-06,7.2493e-06,4.00371e-06,1.36231e-05,3.3132e-06,3.24745e-06
49,1.29055e-05,4.61343e-06,7.3859e-06,4.19893e-06,1.39344e-05,3.35667e-06,4.14923e-06
50,1.3413e-05,4.85132e-06,9.27708e-06,4.45758e-06,1.48993e-05,3.83993e-06,3.28405e-06
51,1.45386e-05,5.04957e-06,7.99651e-06,4.2697e-06,1.47884e-05,3.94835e-06,3.37964e-06
52,1.49017e-05,5.09821e-06,8.41332e-06,4.47951e-06,1.51455e-05,3.95291e-06,3.82486e-06
53,1.55105e-05,5.2988e-06,8.80788e-06,4.52679e-06,1.52603e-05,4.20562e-06,3.49653e-06
54,1.57834e-05,5.44513e-06,9.0129e-06,4.67312e-06,1.55129e-05,4.18216e-06,3.53e-06
55,1.6048e-05,5.64693e-06,9.1969e-06,5.4471e-06,1.6202e-05,4.33919e-06,4.03149e-06
56,1.69259e-05,6.25271e-06,9.35595e-06,4.87856e-06,1.62507e-05,4.34229e-06,4.02798e-06
57,1.79193e-05,6.02672e-06,9.82285e-06,5.28934e-06,1.6513e-05,5.46563e-06,4.67374e-06
58,1.83627e-05,6.35224e-06,1.15819e-05,7.73444e-06,1.7639e-05,4.55713e-06,4.46292e-06
59,1.91791e-05,6.57841e-06,1.03285e-05,5.19519e-06,1.7486e-05,4.67042e-06,4.25388e-06
60,1.907e-05,7.02004e-06,1.07222e-05,5.21659e-06,1.80174e-05,4.78162e-06,4.8369e-06
61,2.07877e-05,7.21528e-06,1.10131e-05,5.48382e-06,1.80958e-05,4.87281e-06,4.14649e-06
62,2.04968e-05,7.23325e-06,1.13995e-05,5.41903e-06,1.83982e-05,5.06519e-06,4.48144e-06
63,2.16068e-05,7.28607e-06,1.18621e-05,5.47714e-06,1.85932e-05,5.21822e-06,5.0555e-06
64,2.1843e-05,7.92698e-06,1.19911e-05,5.77405e-06,1.88593e-05,5.39628e-06,4.64315e-06
65,2.17947e-05,7.90755e-06,1.22839e-05,5.84928e-06,1.93254e-05,5.51551e-06,5.2816e-06
66,2.23142e-05,8.07625e-06,1.26972e-05,5.85207e-06,1.98615e-05,5.45032e-06,5.25793e-06
67,2.34057e-05,8.59958e-06,1.30258e-05,6.27113e-06,2.06587e-05,5.4567e-06,5.686e-06
68,2.40379e-05,8.33998e-06,1.32907e-05,6.17509e-06,2.04026e-05,5.57826e-06,5.1547e-06
69,2.47052e-05,8.7037e-06,1.43765e-05,6.18703e-06,2.03014e-05,5.88438e-06,5.11418e-06
70,2.11092e-05,6.74757e-06,1.38138e-05,6.16837e-06,1.85992e-05,4.62504e-06,4.33267e-06
71,2.66662e-05,1.03455e-05,1.46842e-05,6.7699e-06,2.14516e-05,5.99251e-06,5.96626e-06
72,2.75371e-05,9.54822e-06,1.50152e-05,6.58438e-06,2.20084e-05,6.30123e-06,5.83374e-06
