Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
2,2.3825e-07,3.455e-08,4.034e-08,2.5752e-07,4.8052e-07,8.632e-08,1.0996e-07
3,1.9175e-07,1.5964e-07,2.2728e-07,3.7666e-07,1.0025e-06,1.3551e-07,1.0214e-07
4,1.9662e-07,1.6295e-07,2.0925e-07,4.3218e-07,1.97003e-06,2.2718e-07,1.7274e-07
5,3.3873e-07,2.3929e-07,3.4778e-07,5.8315e-07,2.33112e-06,3.8082e-07,2.6287e-07
6,5.0515e-07,8.4062e-07,4.7554e-07,6.2055e-07,2.45181e-06,5.1808e-07,2.371e-07
7,5.5527e-07,3.8614e-07,5.4069e-07,6.7756e-07,2.42415e-06,6.2714e-07,4.4751e-07
8,9.6453e-07,5.6796e-07,8.7447e-07,1.06506e-06,4.88331e-06,7.8846e-07,5.7876e-07
9,1.13793e-06,5.3857e-07,8.453e-07,1.11807e-06,5.69475e-06,8.2994e-07,4.4243e-07
10,1.68399e-06,8.2526e-07,1.32403e-06,2.0508e-06,4.60911e-06,7.4624e-07,6.9009e-07
11,1.39892e-06,6.6355e-07,1.51077e-06,2.50088e-06,3.83469e-06,8.3895e-07,1.13159e-06
12,2.05153e-06,1.00041e-06,1.74017e-06,1.92791e-06,9.52752e-06,1.51458e-06,9.4685e-07
13,2.18687e-06,7.6469e-07,1.53253e-06,1.03584e-06,5.87282e-06,1.57518e-06,7.6431e-07
14,1.83007e-06,9.643e-07,1.93654e-06,1.60848e-06,6.6441e-06,1.32941e-06,1.28634e-06
15,2.13763e-06,1.04811e-06,1.60476e-06,1.46693e-06,4.9166e-06,1.01062e-06,9.7997e-07
16,2.09442e-06,9.0728e-07,1.92097e-06,1.14037e-06,4.93739e-06,1.22758e-06,1.11938e-06
17,2.53419e-06,9.1573e-07,1.64708e-06,1.5367e-06,6.16504e-06,1.13501e-06,8.9827e-07
18,2.58912e-06,1.28728e-06,1.86784e-06,1.56444e-06,6.37428e-06,1.20362e-06,9.6309e-07
19,2.91717e-06,1.53506e-06,1.58445e-06,2.22309e-06,7.01544e-06,1.45262e-06,1.16279e-06
20,2.69222e-06,1.28674e-06,2.00858e-06,1.75183e-06,5.7331e-06,1.31577e-06,1.06055e-06
21,9.32569e-06,1.3694e-06,2.21942e-06,2.08198e-06,7.60278e-06,1.65577e-06,1.32738e-06
22,3.9922e-06,1.54193e-06,2.66302e-06,2.00589e-06,7.6447e-06,1.76649e-06,1.8746e-06
23,6.25008e-06,1.85413e-06,2.81519e-06,2.92231e-06,9.18628e-06,1.93121e-06,1.78932e-06
24,4.68633e-06,1.68657e-06,2.93222e-06,3.0735e-06,8.77913e-06,2.09075e-06,1.77625e-06
25,4.81084e-06,2.09174e-06,3.1801e-06,2.49204e-06,7.92778e-06,1.75219e-06,1.63017e-06
26,4.81557e-06,2.45501e-06,2.95845e-06,2.11004e-06,1.06731e-05,1.86005e-06,1.81729e-06
27,5.20487e-06,2.12868e-06,4.66169e-06,2.75643e-06,9.97991e-06,2.49382e-06,2.52942e-06
28,6.47365e-06,2.26659e-06,3.84111e-06,3.05166e-06,1.45601e-05,2.27866e-06,1.97216e-06
29,6.42007e-06,2.62714e-06,4.1286e-06,3.33131e-06,1.19708e-05,3.48061e-06,3.24565e-06
30,9.82114e-06,3.46987e-06,5.48596e-06,3.85875e-06,1.67023e-05,4.18119e-06,4.08026e-06
31,1.22887e-05,4.03277e-06,6.42118e-06,4.44585e-06,1.61084e-05,3.9294e-06,3.53053e-06
32,1.2847e-05,4.29207e-06,8.54515e-06,6.13133e-06,2.11166e-05,5.50587e-06,4.59429e-06
