Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
2,1.348e-08,1.321e-08,1.209e-08,1.308e-08,6.513e-08,1.334e-08,1.839e-08
3,3.565e-08,2.823e-08,3.393e-08,3.087e-08,1.6118e-07,3.386e-08,3.238e-08
4,6.774e-08,4.781e-08,5.618e-08,5.164e-08,2.6276e-07,7.172e-08,5.24e-08
5,1.0864e-07,7.292e-08,9.715e-08,7.288e-08,3.612e-07,1.0199e-07,7.758e-08
6,1.5884e-07,8.866e-08,1.3053e-07,9.842e-08,4.7712e-07,1.3793e-07,9.791e-08
7,2.123e-07,1.1999e-07,1.8043e-07,1.1549e-07,5.5535e-07,3.7487e-07,1.225e-07
8,4.5884e-07,1.3966e-07,2.0927e-07,1.3703e-07,8.9685e-07,2.1356e-07,1.3059e-07
9,3.4628e-07,1.6253e-07,2.8771e-07,1.4895e-07,8.0025e-07,2.3793e-07,1.487e-07
10,4.2415e-07,1.6923e-07,3.2062e-07,1.6688e-07,8.9095e-07,2.7332e-07,1.6483e-07
11,7.5482e-07,1.7738e-07,3.5304e-07,1.7721e-07,1.69716e-06,3.0776e-07,3.9224e-07
12,6.3606e-07,2.0854e-07,4.1271e-07,2.0412e-07,1.11448e-06,8.6207e-07,2.0712e-07
13,7.2614e-07,2.2437e-07,4.5042e-07,2.2334e-07,1.27483e-06,4.0415e-07,2.4509e-07
14,1.17238e-06,2.4593e-07,5.0149e-07,2.3276e-07,1.30253e-06,4.3249e-07,2.7859e-07
15,9.8887e-07,2.7161e-07,5.5962e-07,2.4816e-07,1.42114e-06,4.5753e-07,2.8463e-07
16,1.6342e-06,2.8596e-07,6.158e-07,2.6997e-07,1.52573e-06,4.9032e-07,2.9953e-07
17,1.23757e-06,3.2984e-07,7.0377e-07,4.2319e-07,2.46081e-06,5.7447e-07,3.2056e-07
18,1.3885e-06,3.3361e-07,7.7155e-07,7.4889e-07,6.69332e-06,1.19749e-06,6.436e-07
19,3.36557e-06,6.1398e-07,1.27636e-06,4.3808e-07,1.43281e-06,5.8655e-07,3.7468e-07
20,2.01082e-06,4.3949e-07,9.8153e-07,7.4702e-07,2.17163e-06,6.6955e-07,4.6733e-07
21,1.87806e-06,4.162e-07,1.1901e-06,8.0239e-07,3.61537e-06,7.1181e-07,5.3332e-07
22,2.37886e-06,4.3534e-07,1.02944e-06,5.1942e-07,5.76935e-06,8.3473e-07,8.98e-07
23,2.07204e-06,4.1058e-07,9.7936e-07,5.5365e-07,2.64296e-06,1.04229e-06,6.0147e-07
24,2.69797e-06,5.194e-07,1.22823e-06,7.0313e-07,2.0372e-06,8.8415e-07,8.6132e-07
25,2.96191e-06,5.3321e-07,1.3632e-06,1.02365e-06,2.35958e-06,9.3402e-07,8.6121e-07
26,3.17965e-06,5.6772e-07,1.77331e-06,7.8879e-07,2.51124e-06,1.01886e-06,7.5802e-07
27,3.41287e-06,5.9369e-07,1.29325e-06,6.4781e-07,2.23083e-06,8.2655e-07,6.331e-07
28,2.86518e-06,4.9051e-07,1.24227e-06,7.0735e-07,2.40079e-06,8.4132e-07,6.4076e-07
29,3.43345e-06,5.2262e-07,1.39253e-06,7.3262e-07,2.05116e-06,9.2799e-07,6.9164e-07
30,3.31829e-06,5.4866e-07,1.52514e-06,7.6398e-07,2.1361e-06,9.7204e-07,7.377e-07
31,3.56483e-06,5.5751e-07,1.45202e-06,7.6562e-07,2.18612e-06,9.6751e-07,7.6972e-07
32,4.02501e-06,5.9466e-07,1.54012e-06,8.3019e-07,2.36507e-06,1.39196e-06,2.45489e-05
33,4.59864e-06,8.2982e-07,4.03517e-06,9.7272e-07,6.09379e-06,1.10048e-06,8.1109e-07
34,1.48598e-05,6.1375e-07,1.78034e-06,8.4066e-07,2.38049e-06,9.3169e-07,7.7021e-07
35,4.05973e-06,5.0901e-07,1.53869e-06,8.0146e-07,3.15288e-06,9.9286e-07,7.9921e-07
36,3.88435e-06,1.1256e-06,1.51791e-06,8.055e-07,3.16596e-06,1.02665e-06,9.6901e-07
37,4.37911e-06,6.4989e-07,1.61187e-06,1.36918e-06,3.14879e-06,1.11082e-06,1.29954e-06
38,4.892e-06,7.3433e-07,1.94182e-06,9.0903e-07,3.96451e-06,1.16827e-06,1.09068e-06
39,7.02412e-06,8.9331e-07,2.66955e-06,1.7581e-06,5.89245e-06,1.69123e-06,1.2122e-06
40,5.89608e-06,9.2983e-07,2.66835e-06,1.55278e-06,4.22987e-06,1.48694e-06,1.27642e-06
41,0.000104866,1.00506e-06,2.67436e-06,1.7081e-06,4.76504e-06,1.75546e-06,1.2451e-06
42,7.29013e-06,1.10152e-06,2.99602e-06,1.33175e-06,6.07e-06,1.53633e-06,1.12215e-06
43,7.1937e-06,1.02513e-06,2.60546e-06,1.22898e-06,5.18854e-06,1.92666e-06,1.744e-06
44,9.29869e-06,1.19541e-06,2.83565e-06,1.37503e-06,5.78925e-06,3.453e-06,1.42505e-06
45,9.38172e-06,1.09328e-06,3.03584e-06,1.34881e-06,4.6759e-06,1.73737e-06,1.38302e-06
46,1.02648e-05,4.70297e-06,3.89815e-06,3.48258e-06,2.63225e-05,1.77988e-05,6.19456e-06
